Model,Star Rating,No. of Ratings,No. of Reviews,OS,,Size,Screen Size,Warranty,Color,Price
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,1732,310,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,2 year international warranty,Metallic Black,"34,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,4.2,337,328,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"47,990"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,3.7,1646,310,Chrome Operating System,,1 Year Carry-in Warranty,,2 year international warranty,Blue,"16,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,1373,196,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"47,990"
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,1121,210,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Silver,"85,690"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,1937,115,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"61,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,380,122,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year warranty,Grey,"84,990"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,1935,234,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year onsite warranty,Grey,"1,02,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,4.5,1582,125,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Grey,"1,19,990"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,4.2,1019,195,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"49,990"
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4,593,111,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Grey,"42,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,4.2,1765,171,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Silver,"35,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,1687,232,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"52,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,4.4,1055,205,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Silver,"1,04,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,635,319,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Blue,"36,990"
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 0IN352010031RINB1M...,4.2,1465,216,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"43,800"
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-071IN Thi...,4.3,1205,296,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"44,990"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,4.3,526,276,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Grey,"33,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,1434,125,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Black,"32,990"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,4.2,709,232,Windows 11 Operating System,,100.63 cm (39.62 cm) Display,,2 year international warranty,Metallic Black,"36,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,1587,121,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Silver,"47,990"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,4.3,271,306,Windows 11 Home Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Black,"40,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,502,112,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Black,"32,990"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thi...,4.3,997,255,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Silver,"36,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,4.3,1106,260,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Silver,"39,990"
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,4.4,1834,206,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Blue,"58,990"
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,4.3,724,122,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Metallic Black,"65,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-612IN ...,4.3,1332,196,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"33,990"
Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,4.3,760,334,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Metallic Black,"75,990"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,1955,117,Chrome Operating System,,1 Year Onsite Warranty,,1 year onsite warranty,Metallic Black,"13,490"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1749,341,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"49,990"
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,4.5,949,216,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Metallic Black,"75,990"
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,1225,129,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Black,"55,990"
HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,4.4,439,125,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year onsite warranty,Black,"89,990"
"ASUS TUF Gaming F15, 90WHrs Battery Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/...",4.6,1207,243,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"1,00,990"
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,No rating,936,304,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year warranty,Grey,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1207,138,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Silver,"49,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,812,260,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Silver,"53,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",4.3,1840,253,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Metallic Black,"36,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,4.2,1517,275,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Metallic Black,"29,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1081,292,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Grey,"49,690"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,4.2,1778,340,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"28,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,4.3,1404,265,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Blue,"59,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,1758,229,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year warranty,Black,"84,990"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,896,212,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Metallic Black,"61,990"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,270,233,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Metallic Black,"76,190"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1090,145,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Silver,"32,990"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,416,149,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Blue,"32,490"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,1547,265,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,1 year warranty,Metallic Black,"34,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,4.2,637,205,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"47,990"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,3.7,850,315,Chrome Operating System,,1 Year Carry-in Warranty,,1 year onsite warranty,Metallic Black,"16,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,565,245,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"47,990"
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,263,254,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"85,690"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,491,268,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Metallic Black,"61,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,1026,171,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year warranty,Blue,"84,990"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,1619,319,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year warranty,Metallic Black,"1,02,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,4.5,814,173,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year warranty,Black,"1,19,990"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,4.2,1147,116,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"49,990"
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4,1613,346,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Blue,"42,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,4.2,341,289,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Silver,"35,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,1640,256,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"52,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1205,285,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Grey,"49,690"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,1728,169,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Silver,"76,190"
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 0IN352010031RINB1M...,4.2,1701,305,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"43,800"
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-071IN Thi...,4.3,758,249,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"44,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1025,345,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Grey,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,284,105,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Metallic Black,"47,990"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,4.2,455,125,Windows 11 Operating System,,100.63 cm (39.62 cm) Display,,1 year warranty,Silver,"36,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,1354,266,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"47,990"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,4.3,1835,239,Windows 11 Home Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Blue,"40,990"
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,4.4,1661,198,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Grey,"58,990"
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,1275,241,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"85,690"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,1271,121,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year onsite warranty,Black,"1,02,990"
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,4.3,1663,150,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Black,"65,990"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,815,250,Chrome Operating System,,1 Year Onsite Warranty,,1 year warranty,Black,"13,490"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,4.5,1379,275,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Metallic Black,"1,19,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,1750,298,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Blue,"36,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,952,203,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"49,990"
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,4.5,651,277,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"75,990"
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,979,188,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Grey,"55,990"
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 H...,4.3,1829,240,Windows 11 Operating System,,43.94 cm (17.3 Inch) Display,,2 year international warranty,Metallic Black,"57,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,4.4,411,312,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year onsite warranty,Grey,"1,04,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,451,332,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Blue,"32,990"
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,No rating,1245,237,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year warranty,Black,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,519,344,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"49,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,1065,282,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Silver,"53,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,4.2,1544,350,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"29,990"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,4.2,705,108,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Blue,"28,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1735,178,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Black,"49,690"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",4.3,2000,151,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"36,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,4.3,1525,229,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Metallic Black,"59,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,1266,252,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,2 year international warranty,Black,"84,990"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,1975,112,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"61,990"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,545,325,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Blue,"76,190"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1998,150,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Silver,"32,990"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,969,285,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Silver,"32,490"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,587,133,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,2 year international warranty,Blue,"34,990"
